Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,158.779999,174.050003,156.509995,170.229996,164.721069,558530000
2020-02-01,
,165.309998,175.000000,132.520004,157.710007,153.023056,1612695500
2020-04-01,153.000000,180.399994,150.360001,-179.210007,173.884079,984705000
2020-05-01,175.800003,187.509995,173.800003,183.250000,177.804031,688845000
2020-06-01,182.539993,204.399994,181.350006,203.509995,198.011871,764965400
2020-07-01,203.139999,216.380005,197.509995,205.009995,199.471329,770190800
2020-08-01,211.520004,231.149994,203.139999,225.529999,219.436996,692423900
2020-09-01,225.509995,232.860001,196.250000,210.330002,205.142319,768176300
2020-10-01,213.490005,225.210007,199.619995,202.470001,197.476181,631618000
2020-11-01,204.289993,228.119995,200.119995,214.070007,208.790085,573443000
2020-12-01,214.509995,227.179993,209.110001,222.419998,217.502060,594761700
2021-01-01,222.529999,242.639999,211.940002,231.960007,226.831131,648076400
2021-02-01,235.059998,246.130005,227.880005,232.380005,227.241837,490962200
2021-03-01,235.899994,241.050003,224.259995,235.770004,231.087906,724945800
2021-04-01,238.470001,263.190002,238.050003,252.179993,247.171997,568661600
2021-05-01,253.399994,254.350006,238.070007,249.679993,244.721619,495084900
2021-06-01,251.229996,271.649994,243.000000,270.899994,266.133362,508572200
2021-07-01,269.609985,290.149994,269.600006,284.910004,279.896881,522672700
2021-08-01,286.359985,305.839996,283.739990,301.880005,296.568268,441308900
2021-09-01,302.869995,305.320007,281.619995,281.920013,277.489655,502918700
2021-10-01,282.119995,332.000000,280.250000,331.619995,326.408630,516515800
2021-11-01,331.359985,349.670013,326.369995,330.589996,325.394867,509885200
2021-12-01,335.130005,344.299988,317.250000,336.320007,331.640442,625674800
2022-01-01,335.350006,338.000000,276.049988,310.980011,306.653015,947531400
